"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","waga","wolne_miejsca"
"4583","88ceb3f545d5062b7770accb0cc09ee70a2824ec","D",2,24,8,1,23
"4584","56c601c6dcf5ba64e9a3dd2c1a2c913ff05731c8","D",2,14,4,1,9
"4585","56c601c6dcf5ba64e9a3dd2c1a2c913ff05731c8","D",2,14,5,1,20
"4586","ab7c4b3d95200908d585bd4de3e6100975b03129","S",2,14,4,39,4
"4587","7e68a4fa47086ab19f89fa5a1c59f159b8ad46f5","D",2,14,3,1,2
"4588","2600821139013abcce03d2a4eacb5bc4ca405d94","D",2,14,9,1,4
"4589","036b99510ed4bb157ced5f6b568117f866f9cf86","M",2,14,9,2,4
"4590","72a78dbcadefd16409bbba40e753d0255b54fc5c","D",1,14,2,1,9
"4591","4183fa72a769a87af6341269a983983890db6092","D",1,14,9,1,3
"4592","ec7ffbd4b7dd88714cd2a87fba3114b1931b776c","D",2,16,3,1,2
"4593","ec7ffbd4b7dd88714cd2a87fba3114b1931b776c","D",2,16,8,1,4
"4594","dc910bac76a3395c21393cd1c5f8622643566bf8","D",2,30,1,1,6
"4595","dc910bac76a3395c21393cd1c5f8622643566bf8","D",2,30,2,1,27
"4596","dc910bac76a3395c21393cd1c5f8622643566bf8","D",2,30,3,1,2
"4597","de60d014559b2cf82c4794be3029e66875deb1c4","D",2,28,2,1,2
"4598","67fb988048c8c11f0510dfbcad94993e3d78728e","D",2,14,9,1,5
"4599","80c49f03d9050851243a9d466338eecec8fc4e14","D",2,14,3,1,3
"4600","68079332f2dafa1abe9ca173cfa7110a002a0998","M",2,14,8,2,4
"4601","859df9443327b6ab61931b9e1ea0fbc88646317c","S",2,14,5,1,4
"4602","23da878ccb32afcaacc74932e8630ccf345afa1f","D",2,2,3,1,9
"4603","3354de06e6fbbc8b4f97abcaf294b09a240e057b","D",2,22,2,1,6
"4604","3354de06e6fbbc8b4f97abcaf294b09a240e057b","D",2,22,3,1,8
"4605","28f0c8b7d9d54b0931834ead7905ce35ddd036e6","D",2,10,2,1,4
"4606","28f0c8b7d9d54b0931834ead7905ce35ddd036e6","D",2,10,4,1,15
"4607","30159e03c9d22c1ef2faf8231ff2c520fb6e38aa","D",2,2,3,1,5
"4608","0acc0d2c7d2ad32c6bb8c30cb840c3cafeb796fa","D",1,14,2,1,7
"4609","0acc0d2c7d2ad32c6bb8c30cb840c3cafeb796fa","D",1,14,9,1,2
"4610","f509f32e2151fe8e731f528ab948947e6c00ca18","D",2,14,2,1,3
"4611","f509f32e2151fe8e731f528ab948947e6c00ca18","D",2,14,4,1,6
"4612","f509f32e2151fe8e731f528ab948947e6c00ca18","D",2,14,7,1,3
"4613","b0e50e70c035cd480859e097f8b5f768889b8c27","D",2,12,5,1,7
"4614","df88e1b89b85953c682a2970d40c7c68d920ff1a","S",2,14,5,13,13
"4615","2bc61bb538af5dba1ec6a83ab67d4b2a5ece5be4","M",2,14,4,9,6
"4616","573073d1553e2b10489bbb875be0c71cd3639c9e","S",2,14,9,12,5
"4617","e4add8c845908b1d47c99e4d5da50b571a94c68e","D",2,12,2,1,7
"4618","0c6acae518d9b30adf076ab9d83ddbd7acab40a5","D",2,10,1,1,3
"4619","2eb52c4c3a43d082a8ad640646aa3ce2c0dbd414","D",2,14,2,1,17
"4620","9988b376890e79bd19d220d21442d8a7cab7d09f","D",2,14,5,1,5
"4621","bcb1592b0785f0b72192b5128b2d03f1969fa334","D",2,14,1,1,3
"4622","bcb1592b0785f0b72192b5128b2d03f1969fa334","D",2,14,2,1,4
"4623","bcb1592b0785f0b72192b5128b2d03f1969fa334","D",2,14,3,1,6
"4624","1593441dd57977698c9bd6323c731dad446f4ea1","D",2,14,2,1,19
"4625","dbc7cb319cc10f797a4676485c1caf76305f712c","D",2,14,1,1,10
"4626","dbc7cb319cc10f797a4676485c1caf76305f712c","D",2,14,2,1,5
"4627","dbc7cb319cc10f797a4676485c1caf76305f712c","D",2,14,3,1,7
"4628","dbc7cb319cc10f797a4676485c1caf76305f712c","D",2,14,4,1,37
"4629","8ff15e2d28e1898299f75d2d8161d6dc86162bac","S",2,14,2,10,2
"4630","d4f3bd1222d941b4ebb6a283be5ab988128e9e5a","D",2,12,2,1,7
"4631","d4f3bd1222d941b4ebb6a283be5ab988128e9e5a","D",2,12,3,1,3
"4632","da452f03407a9c858b9913a7ada899e472575fa1","D",2,14,3,1,22
"4633","da452f03407a9c858b9913a7ada899e472575fa1","D",2,14,4,1,23
"4634","82871f3afa5e44087b5309791d9bec26090d288c","D",2,32,2,1,19
"4635","bd750a92b07985bed96b007c512653d0165bad94","D",2,14,4,1,29
"4636","7cd1359f9d0a422e7392a13a326c600c9e33d9c4","D",2,32,1,1,6
"4637","7cd1359f9d0a422e7392a13a326c600c9e33d9c4","D",2,32,2,1,5
"4638","7cd1359f9d0a422e7392a13a326c600c9e33d9c4","D",2,32,9,1,17
