"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","wolne_miejsca_cbop","jedna_zmiana"
"270","b38283f2098fca924d7d056cc603bcf0a4b52789","D",1,30,5,1,FALSE
"271","9594a17a843c3e072f54ad38fce6050c878342bf","S",1,32,9,2,FALSE
"272","441259e6666004fb743b25cf52365565b86ab40c","D",1,24,5,1,FALSE
"273","441259e6666004fb743b25cf52365565b86ab40c","D",1,24,9,3,FALSE
"274","a5a41f51096cabbd388131c19319f88fa067f438","D",1,20,4,1,FALSE
"275","07a39e308bcf5ec158c2b3ad68d5eeb51b909bd4","D",1,4,4,1,FALSE
"276","719d7826a1ec02eca244970dea37e6720618936a","D",1,24,4,4,TRUE
"277","a9bd34d485b0f29011992356c5f41e788a7f8e48","D",1,12,4,2,FALSE
"278","e649aff8dc7b60be4d6932d18144751ca65caf0f","D",1,28,4,1,FALSE
"279","f86255f01d7f320c2bda29988ea8a707ce5d0d56","D",2,30,1,1,TRUE
"280","850b761a678975690af489877d973b5734ad6295","D",1,30,2,2,TRUE
"281","769511e15da56ca282fc50fe4afeb4be94df170a","S",2,20,5,1,TRUE
"282","0851ee7f4722ee0db8e7e1b1b6c66bba8b22b81f","S",2,22,5,2,FALSE
"283","0851ee7f4722ee0db8e7e1b1b6c66bba8b22b81f","S",2,22,7,1,TRUE
"284","424e7673705fc161be34c90ffe6bb30ab63c0ef6","S",2,22,5,1,FALSE
"285","a79910a17ca2e6dd8fd2b83993fc43bb16684c10","D",2,22,5,1,TRUE
"286","937b147ea69fb4a16271df548e5ec294a54bdeed","S",2,4,5,2,TRUE
"287","937b147ea69fb4a16271df548e5ec294a54bdeed","S",2,4,9,1,TRUE
"288","e4ea3af17b95a221d81df610fe560905a3591dbe","S",2,22,7,2,FALSE
"289","e4ea3af17b95a221d81df610fe560905a3591dbe","S",2,22,9,1,FALSE
"290","001a4ae4b2153adce49fa5a77825990cbd008419","D",2,24,7,1,FALSE
"291","c20fae7fa6c66ea1d7bbac6343847bdc252db5fd","S",2,24,7,1,TRUE
"292","c20fae7fa6c66ea1d7bbac6343847bdc252db5fd","S",2,24,8,1,TRUE
